narrator_id,grade,death_reason,places_of_stay,name_en,name_ar
1,Rasool Allah,Natural,"Makkah, Medina",Prophet Muhammadsaw,محمّد صلّی اللہ علیہ وآلہ وسلّم
2,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Abu Bakr As-Siddique,أبو بكر الصديق
3,Companion (RA) [1st Generation],Martyred,"Makkah, Medina",Umar ibn al-Khattab,عمر بن الخطاب بن نفيل
4,Companion (RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medinah",Uthman ibn 'Affaan,عثمان بن عفان
5,Companion (RA) [1st Generation],Martyred,"Makkah, Medina, kufa",Ali ibn Abi Talib,علي بن أبي طالب بن عبد المطلب
6,Companion (RA) [1st Generation],Martyred,"Makkah, Medinah",Talha ibn 'Ubaidullah,طلحة بن عبيد الله
7,Companion (RA) [1st Generation],Martyred,"Makkah, Medinah",Zubayr ibn al-Awwam,الزبير بن العوام بن خويلد
8,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah",Abdur Rahman Ibn 'Awf,عبد الرحمن بن عوف
9,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Sa'd ibn Abi Waqqas,سعد بن أبي وقاص
10,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria",Abu 'Ubaidah ibn al-Jarrah,أبو عبيدة بن الجراح
11,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Sa'id bin Zayd,سعيد بن زيد
12,Companion (RA),Martyred,"Makkah, Abyssinia, Medinah",Mus'ab ibn 'Umair,مصعب بن عمير
13,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Yemen, Bahrain",Abu Hurairah,أبو هريرة - عبد الرحمن بن صخر الدوسي
14,Companion (RA) [1st Generation],Natural,"Asbahan, Jia, Medina, Fars, Kufa",Salman Farsi,سلمان أبو عبد الله الفارسي
15,Companion (RA) [1st Generation],Martyred,"Makkah, Medina",Zayd ibn Harithah,زيد بن حارثة
16,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medina, kufah",ibn Mas'ud,عبد الله بن مسعود
17,Companion (RA) [1st Generation],Natural,"Makkah, Medina",ibn Abbas,عبد الله بن العباس بن عبد المطلب  الحبر
