,narrator_id,name,grade,death_reason,places_of_stay
0,1,Prophet Muhammad(saw) ( محمّد صلّی اللہ علیہ وآلہ وسلّم ( رضي الله عنه,Rasool Allah,Natural,"Makkah, Medina"
1,2,Abu Bakr As-Siddique ( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
2,3,Umar ibn al-Khattab ( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medina"
3,4,Uthman ibn 'Affaan ( عثمان بن عفان ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medinah"
4,5,Ali ibn Abi Talib ( علي بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medina, kufa"
5,6,Talha ibn 'Ubaidullah ( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medinah"
6,7,Zubayr ibn al-Awwam ( الزبير بن العوام بن خويلد ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medinah"
7,8,Abdur Rahman Ibn 'Awf ( عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah"
8,9,Sa'd ibn Abi Waqqas ( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
9,10,Abu 'Ubaidah ibn al-Jarrah ( أبو عبيدة بن الجراح ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Syria"
10,11,Sa'id bin Zayd ( سعيد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
11,12,Mus'ab ibn 'Umair ( مصعب بن عمير ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Abyssinia, Medinah"
12,13,Abu Hurairah ( أبو هريرة - عبد الرحمن بن صخر الدوسي  ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Yemen, Bahrain"
13,14,Salman Farsi ( سلمان أبو عبد الله الفارسي ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Asbahan, Jia, Medina, Fars, Kufa"
14,15,Zayd ibn Harithah ( زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medina"
